id,name,description,slug,count,portal_link,posts_api_link,self_api_link
260702,Tenis,,,3513,https://hr.n1info.com/category/sport-klub/tenis/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260702,https://hr.n1info.com/wp-json/wp/v2/categories/260702
260782,Točka na tjedan,,,379,https://hr.n1info.com/category/video/tocka-na-tjedan/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260782,https://hr.n1info.com/wp-json/wp/v2/categories/260782
260877,TV lica,,,18,https://hr.n1info.com/category/tv-lica/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260877,https://hr.n1info.com/wp-json/wp/v2/categories/260877
260892,TV LICA 2.0,,,88,https://hr.n1info.com/category/tv-lica-20/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260892,https://hr.n1info.com/wp-json/wp/v2/categories/260892
1,Uncategorized,,,19,https://hr.n1info.com/category/uncategorized/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=1,https://hr.n1info.com/wp-json/wp/v2/categories/1
260732,Video,,,5272,https://hr.n1info.com/category/video/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260732,https://hr.n1info.com/wp-json/wp/v2/categories/260732
260667,Video strana,,,3792,https://hr.n1info.com/category/video-strana/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260667,https://hr.n1info.com/wp-json/wp/v2/categories/260667
260677,Vijesti,,,111722,https://hr.n1info.com/category/vijesti/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260677,https://hr.n1info.com/wp-json/wp/v2/categories/260677
283247,Vrijeme,,,129,https://hr.n1info.com/category/vrijeme/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=283247,https://hr.n1info.com/wp-json/wp/v2/categories/283247
260817,Zdravlje,,,2766,https://hr.n1info.com/category/zdravlje/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260817,https://hr.n1info.com/wp-json/wp/v2/categories/260817
260837,Znanost,,,8222,https://hr.n1info.com/category/znanost/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260837,https://hr.n1info.com/wp-json/wp/v2/categories/260837
